CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O        PIDS
b70f8c31749f   jsonbench-grafana-1    1.01%     71.79MiB / 27.2GiB   0.26%     35.6kB / 16.6kB   19.8MB / 254kB   19
567bb60ea6e3   jsonbench-postgres-1   0.60%     48.6MiB / 27.2GiB    0.17%     84B / 0B          664kB / 68.4MB   6
61f6acea9a1b   jsonbench-mongodb-1    0.39%     78.92MiB / 27.2GiB   0.28%     84B / 0B          0B / 1.6MB       33
f69071d34d58   prometheus             0.00%     65.73MiB / 27.2GiB   0.24%     4.97MB / 94.7kB   0B / 0B          13
e70c8e1f6076   cadvisor               1.91%     51.12MiB / 27.2GiB   0.18%     94.7kB / 4.97MB   0B / 0B          16
 Container jsonbench-mongodb-1  Running
 Container jsonbench-postgres-1  Recreate
 Container jsonbench-postgres-1  Recreated
 Container jsonbench-client-8  Creating
 Container jsonbench-client-5  Creating
 Container jsonbench-client-4  Creating
 Container jsonbench-client-7  Creating
 Container jsonbench-client-3  Creating
 Container jsonbench-client-6  Creating
 Container jsonbench-client-2  Creating
 Container jsonbench-client-1  Creating
 Container jsonbench-client-7  Created
 Container jsonbench-client-1  Created
 Container jsonbench-client-8  Created
 Container jsonbench-client-2  Created
 Container jsonbench-client-6  Created
 Container jsonbench-client-4  Created
 Container jsonbench-client-3  Created
 Container jsonbench-client-5  Created
Attaching to client-1, client-2, client-3, client-4, client-5, client-6, client-7, client-8
client-1  | Current Mongosh Log ID:	67b1a38856885e8b1a76d90b
client-4  | [2025-02-16T08:36:27.516Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100000 documents of 1000 bytes * 10 fields
client-2  | Using Mongosh:		2.0.2
client-2  | 
client-2  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-2  | 
client-2  | 
client-2  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-2  | You can opt-out by running the disableTelemetry() command.
client-2  | 
client-2  | Loading file: /dir/lib.js
client-5  | Current Mongosh Log ID:	67b1a38b392808dd75c1adef
client-6  | 📚 lib.js loaded
client-6  | [2025-02-16T08:36:28.299Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100000 documents of 1000 bytes * 10 fields
client-5  | Using Mongosh:		2.0.2
client-5  | 
client-5  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-5  | 
client-5  | 
client-5  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-5  | You can opt-out by running the disableTelemetry() command.
client-5  | 
client-5  | Loading file: /dir/lib.js
client-3  | Current Mongosh Log ID:	67b1a38c7fe9c423633046ab
client-3  | Using Mongosh:		2.0.2
client-3  | 
client-3  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-3  | 
client-3  | 
client-3  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-3  | You can opt-out by running the disableTelemetry() command.
client-3  | 
client-3  | Loading file: /dir/lib.js
client-2  | 📚 lib.js loaded
client-2  | [2025-02-16T08:36:29.284Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100000 documents of 1000 bytes * 10 fields
client-7  | Current Mongosh Log ID:	67b1a38dfca33557c948d4fb
client-7  | Using Mongosh:		2.0.2
client-7  | 
client-7  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-7  | 
client-7  | 
client-7  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-7  | You can opt-out by running the disableTelemetry() command.
client-7  | 
client-8  | Current Mongosh Log ID:	67b1a38dd51f88273e2b5628
client-7  | Loading file: /dir/lib.js
client-5  | 📚 lib.js loaded
client-5  | [2025-02-16T08:36:30.088Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100000 documents of 1000 bytes * 10 fields
client-8  | Using Mongosh:		2.0.2
client-8  | 
client-8  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-8  | 
client-8  | 
client-8  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-8  | You can opt-out by running the disableTelemetry() command.
client-8  | 
client-8  | Loading file: /dir/lib.js
client-3  | 📚 lib.js loaded
client-3  | [2025-02-16T08:36:30.659Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100000 documents of 1000 bytes * 10 fields
client-7  | 📚 lib.js loaded
client-7  | [2025-02-16T08:36:31.200Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100000 documents of 1000 bytes * 10 fields
client-8  | 📚 lib.js loaded
client-8  | [2025-02-16T08:36:31.701Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100000 documents of 1000 bytes * 10 fields
client-1  | ✅ Connected to MongoDB
client-4  | ✅ Connected to MongoDB
client-6  | ✅ Connected to MongoDB
client-2  | ✅ Connected to MongoDB
client-5  | ✅ Connected to MongoDB
client-3  | ✅ Connected to MongoDB
client-7  | ✅ Connected to MongoDB
client-8  | ✅ Connected to MongoDB
[ perf record: Woken up 1 times to write data ]
[ perf record: Captured and wrote 0.000 MB - ]
