CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O        PIDS
6d90c9e65563   jsonbench-grafana-1    0.73%     69.89MiB / 27.2GiB   0.25%     89.6kB / 46.3kB   541kB / 864kB    18
b716ea8d8b75   jsonbench-mongodb-1    0.29%     1.541GiB / 9GiB      17.12%    2.6GB / 890MB     0B / 9.86GB      33
c18f180539c3   jsonbench-postgres-1   0.00%     131.3MiB / 9GiB      1.42%     2.28kB / 2.11kB   0B / 68.5MB      6
6cd2a634ef9b   prometheus             0.00%     72.18MiB / 27.2GiB   0.26%     51.3MB / 950kB    680kB / 12.3kB   13
9a52da6a4ba0   cadvisor               1.57%     55.44MiB / 27.2GiB   0.20%     951kB / 51.3MB    0B / 0B          16
time="2025-02-26T00:07:35Z" level=warning msg="The \"BENCH_OPERATION\" variable is not set. Defaulting to a blank string."
 Container jsonbench-postgres-1  Running
 Container jsonbench-mongodb-1  Running
 Container jsonbench-client-7  Recreate
 Container jsonbench-client-2  Recreate
 Container jsonbench-client-4  Recreate
 Container jsonbench-client-1  Recreate
 Container jsonbench-client-8  Recreate
 Container jsonbench-client-5  Recreate
 Container jsonbench-client-3  Recreate
 Container jsonbench-client-6  Recreate
 Container jsonbench-client-7  Recreated
 Container jsonbench-client-5  Recreated
 Container jsonbench-client-4  Recreated
 Container jsonbench-client-3  Recreated
 Container jsonbench-client-1  Recreated
 Container jsonbench-client-8  Recreated
 Container jsonbench-client-2  Recreated
 Container jsonbench-client-6  Recreated
Attaching to client-1, client-2, client-3, client-4, client-5, client-6, client-7, client-8
client-5  | Current Mongosh Log ID:	67be5b497cde7291dcfca28a
client-2  | [e936f320f126] PostgreSQL ( 30%) - insert throughput:    340 docs/sec - 300001 documents
client-6  | [0514c1218cf4] PostgreSQL ( 30%) - insert throughput:    340 docs/sec - 300001 documents
client-7  | [b9fd003f9e2a] PostgreSQL ( 30%) - insert throughput:    340 docs/sec - 300001 documents
client-1  | [8fa3b13830ac] PostgreSQL ( 30%) - insert throughput:    340 docs/sec - 300001 documents
client-5  | [5441d191d647] PostgreSQL ( 40%) - insert throughput:    342 docs/sec - 400001 documents
client-8  | [e31bf7851687] PostgreSQL ( 40%) - insert throughput:    342 docs/sec - 400001 documents
client-4  | [2a0326269acd] PostgreSQL ( 40%) - insert throughput:    342 docs/sec - 400001 documents
client-3  | [088d0196661a] PostgreSQL ( 40%) - insert throughput:    342 docs/sec - 400001 documents
client-2  | [e936f320f126] PostgreSQL ( 40%) - insert throughput:    342 docs/sec - 400001 documents
client-7  | [b9fd003f9e2a] PostgreSQL ( 40%) - insert throughput:    342 docs/sec - 400001 documents
client-6  | [0514c1218cf4] PostgreSQL ( 40%) - insert throughput:    341 docs/sec - 400001 documents
client-1  | [8fa3b13830ac] PostgreSQL ( 40%) - insert throughput:    342 docs/sec - 400001 documents
client-5  | [5441d191d647] PostgreSQL ( 50%) - insert throughput:    343 docs/sec - 500001 documents
client-8  | [e31bf7851687] PostgreSQL ( 50%) - insert throughput:    343 docs/sec - 500001 documents
client-3  | [088d0196661a] PostgreSQL ( 50%) - insert throughput:    342 docs/sec - 500001 documents
client-4  | [2a0326269acd] PostgreSQL ( 50%) - insert throughput:    343 docs/sec - 500001 documents
client-2  | [e936f320f126] PostgreSQL ( 50%) - insert throughput:    342 docs/sec - 500001 documents
client-7  | [b9fd003f9e2a] PostgreSQL ( 50%) - insert throughput:    343 docs/sec - 500001 documents
client-6  | [0514c1218cf4] PostgreSQL ( 50%) - insert throughput:    342 docs/sec - 500001 documents
client-1  | [8fa3b13830ac] PostgreSQL ( 50%) - insert throughput:    342 docs/sec - 500001 documents
client-5  | [5441d191d647] PostgreSQL ( 60%) - insert throughput:    343 docs/sec - 600001 documents
client-8  | [e31bf7851687] PostgreSQL ( 60%) - insert throughput:    343 docs/sec - 600001 documents
client-4  | [2a0326269acd] PostgreSQL ( 60%) - insert throughput:    343 docs/sec - 600001 documents
client-3  | [088d0196661a] PostgreSQL ( 60%) - insert throughput:    343 docs/sec - 600001 documents
client-2  | [e936f320f126] PostgreSQL ( 60%) - insert throughput:    343 docs/sec - 600001 documents
client-7  | [b9fd003f9e2a] PostgreSQL ( 60%) - insert throughput:    343 docs/sec - 600001 documents
client-6  | [0514c1218cf4] PostgreSQL ( 60%) - insert throughput:    342 docs/sec - 600001 documents
client-1  | [8fa3b13830ac] PostgreSQL ( 60%) - insert throughput:    343 docs/sec - 600001 documents
client-5  | [5441d191d647] PostgreSQL ( 70%) - insert throughput:    344 docs/sec - 700001 documents
client-8  | [e31bf7851687] PostgreSQL ( 70%) - insert throughput:    344 docs/sec - 700001 documents
client-4  | [2a0326269acd] PostgreSQL ( 70%) - insert throughput:    344 docs/sec - 700001 documents
client-3  | [088d0196661a] PostgreSQL ( 70%) - insert throughput:    344 docs/sec - 700001 documents
client-2  | [e936f320f126] PostgreSQL ( 70%) - insert throughput:    344 docs/sec - 700001 documents
client-7  | [b9fd003f9e2a] PostgreSQL ( 70%) - insert throughput:    344 docs/sec - 700001 documents
client-1  | [8fa3b13830ac] PostgreSQL ( 70%) - insert throughput:    343 docs/sec - 700001 documents
client-6  | [0514c1218cf4] PostgreSQL ( 70%) - insert throughput:    343 docs/sec - 700001 documents
client-5  | [5441d191d647] PostgreSQL ( 80%) - insert throughput:    344 docs/sec - 800001 documents
client-8  | [e31bf7851687] PostgreSQL ( 80%) - insert throughput:    344 docs/sec - 800001 documents
client-4  | [2a0326269acd] PostgreSQL ( 80%) - insert throughput:    344 docs/sec - 800001 documents
client-3  | [088d0196661a] PostgreSQL ( 80%) - insert throughput:    344 docs/sec - 800001 documents
client-2  | [e936f320f126] PostgreSQL ( 80%) - insert throughput:    344 docs/sec - 800001 documents
client-7  | [b9fd003f9e2a] PostgreSQL ( 80%) - insert throughput:    344 docs/sec - 800001 documents
client-1  | [8fa3b13830ac] PostgreSQL ( 80%) - insert throughput:    344 docs/sec - 800001 documents
client-6  | [0514c1218cf4] PostgreSQL ( 80%) - insert throughput:    343 docs/sec - 800001 documents
client-5  | [5441d191d647] PostgreSQL ( 90%) - insert throughput:    344 docs/sec - 900001 documents
client-8  | [e31bf7851687] PostgreSQL ( 90%) - insert throughput:    344 docs/sec - 900001 documents
client-4  | [2a0326269acd] PostgreSQL ( 90%) - insert throughput:    345 docs/sec - 900001 documents
client-3  | [088d0196661a] PostgreSQL ( 90%) - insert throughput:    344 docs/sec - 900001 documents
client-2  | [e936f320f126] PostgreSQL ( 90%) - insert throughput:    344 docs/sec - 900001 documents
client-7  | [b9fd003f9e2a] PostgreSQL ( 90%) - insert throughput:    344 docs/sec - 900001 documents
client-1  | [8fa3b13830ac] PostgreSQL ( 90%) - insert throughput:    344 docs/sec - 900001 documents
client-6  | [0514c1218cf4] PostgreSQL ( 90%) - insert throughput:    343 docs/sec - 900001 documents
client-5  | [2025-02-26T00:56:00.731Z] 🏁 insert workload completed in 2901.62 seconds (1000000 documents)
client-8  | [2025-02-26T00:56:03.271Z] 🏁 insert workload completed in 2903.18 seconds (1000000 documents)
client-3  | [2025-02-26T00:56:03.816Z] 🏁 insert workload completed in 2902.48 seconds (1000000 documents)
client-4  | [2025-02-26T00:56:03.941Z] 🏁 insert workload completed in 2900.70 seconds (1000000 documents)
client-2  | [2025-02-26T00:56:06.340Z] 🏁 insert workload completed in 2902.29 seconds (1000000 documents)
client-7  | [2025-02-26T00:56:07.615Z] 🏁 insert workload completed in 2902.10 seconds (1000000 documents)
client-1  | [2025-02-26T00:56:09.454Z] 🏁 insert workload completed in 2904.73 seconds (1000000 documents)
client-6  | [2025-02-26T00:56:10.149Z] 🏁 insert workload completed in 2907.59 seconds (1000000 documents)
[Kclient-5 exited with code 0
[Kclient-8 exited with code 0
[Kclient-3 exited with code 0
[Kclient-4 exited with code 0
[Kclient-2 exited with code 0
[Kclient-7 exited with code 0
[Kclient-1 exited with code 0
[Kclient-6 exited with code 0

 Performance counter stats for 'system wide':

 1,662,651,944,089      instructions:u            docker/c18f180539c35543f198b50bc88746734321af518d63db3ef116a5d7ea354611                                   

    3915.153396382 seconds time elapsed

time="2025-02-26T01:12:50Z" level=warning msg="The \"BENCH_OPERATION\" variable is not set. Defaulting to a blank string."
VACUUM
PostgreSQL count: 8.000009e+06 size: 1202 MB index: 546 MB
1
2
3
4
5
6
7
8
9
10
public|jsonbench|id|f|0|8|-1|||{752,80437,158757,246303,325228,401841,492006,566551,647144,720702,800026,880767,964451,1047534,1123396,1210490,1285274,1375449,1460289,1562741,1632785,1711034,1797462,1872400,1958739,2032921,2121820,2201256,2272316,2355476,2433257,2508584,2590663,2673968,2751358,2833018,2906467,2991721,3074709,3154264,3236846,3313119,3394078,3476503,3549444,3627088,3707687,3788627,3868857,3954196,4026024,4111140,4187855,4261929,4339863,4407294,4488356,4567432,4645922,4730800,4812771,4886387,4971556,5057552,5128087,5216262,5291233,5382937,5463134,5533903,5615820,5707356,5787872,5854421,5934900,6008730,6088048,6163791,6237664,6323390,6411630,6487969,6566829,6654703,6740988,6818214,6894272,6972543,7048034,7125139,7206589,7290617,7367058,7449523,7530652,7614799,7690926,7774963,7858555,7931359,7999862}|0.9999858||||||
CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O        PIDS
6d90c9e65563   jsonbench-grafana-1    0.83%     70.19MiB / 27.2GiB   0.25%     131kB / 67.3kB    721kB / 1.16MB   18
b716ea8d8b75   jsonbench-mongodb-1    0.32%     1.539GiB / 9GiB      17.10%    2.6GB / 890MB     0B / 9.87GB      33
c18f180539c3   jsonbench-postgres-1   0.01%     1.861GiB / 9GiB      20.67%    4.36GB / 3.07GB   0B / 37.7GB      6
6cd2a634ef9b   prometheus             0.00%     90.15MiB / 27.2GiB   0.32%     96.1MB / 1.77MB   680kB / 12.3kB   13
9a52da6a4ba0   cadvisor               1.57%     62.75MiB / 27.2GiB   0.23%     1.77MB / 96.1MB   0B / 0B          16
